// Generated using In-game Timecyc Editor written by fastman92
// You can find this script on gtaforums.com

//////////// EXTRASUNNY_LA
//Amb			Amb_Obj	Dir			Sky top			Sky bot		SunCore		SunCorona	SunSz	SprSz	SprBght	Shdw	LightShd	PoleShd	FarClp	FogSt	LightOnGround	LowCloudsRGB	BottomCloudRGB	WaterRGBA			Alpha1	RGB1			Alpha2	RGB2		CloudAlpha		Illumination
//Midnight
43 43 43	143 131 123	255 255 255	0 0 0	0 2 5	255 135 6	255 0 0	1 1 0.6 200 100 0 1600 400 1.2	0 0 0	0 0 0	131 136 155 240	127 70 70 70	127 0 0 0	0 0 0
//5AM
68 68 68	90 102 120	255 255 255	130 164 172	184 172 126	0 0 0	0 0 0	2.5 0.8 0.7 200 100 0 1600 400 1.5	0 0 0	0 0 0	238 249 255 240	15 70 70 70	15 0 0 0	0 0 0
//6AM
42 42 42	188 188 188	255 255 255	130 166 172	200 144 85	0 0 0	0 0 0	0 0.7 0.5 200 100 0 1600 400 1.4	0 0 0	0 0 0	237 249 255 255	50 47 58 70	40 0 0 0	0 0 0
//7AM
55 55 55	182 138 109	255 255 255	133 176 192	154 133 101	255 159 74	255 154 94	8.4 1 0.5 100 50 75 1600 400 0.3	0 0 0	0 0 0	180 217 255 255	40 173 106 60	30 128 110 5	0 0 0
//Midday
56 56 56	246 227 255	255 255 255	29 104 255	112 164 255	0 0 0	0 0 0	3.1 1 0.5 100 0 0 1600 40 0.3	0 0 0	0 0 0	0 186 255 240	42 255 192 185	25 129 185 161	0 0 0
//7PM
55 55 55	255 255 255	255 255 255	133 176 192	218 188 143	255 150 13	55 128 0	4.4 1 0.6 100 50 75 1600 40 0.3	0 0 0	0 0 0	176 217 255 240	40 173 106 60	30 129 110 2	0 0 0
//8PM
28 28 28	182 138 109	255 255 255	75 149 173	208 180 153	255 150 13	55 128 0	5.4 1 0.3 100 50 75 1600 40 0.5	0 0 0	0 0 0	145 170 170 240	20 173 106 70	20 184 172 126	0 0 0
//10PM
244 231 255	250 243 255	255 255 255	2 4 32	0 0 19	255 135 6	5 0 0	1 0.4 0.4 200 100 0 1800 40 0.8	0 0 0	0 0 0	145 161 162 240	52 70 70 70	52 0 0 0	0 0 0
//
//////////// SUNNY_LA
//Amb			Amb_Obj	Dir			Sky top			Sky bot		SunCore		SunCorona	SunSz	SprSz	SprBght	Shdw	LightShd	PoleShd	FarClp	FogSt	LightOnGround	LowCloudsRGB	BottomCloudRGB	WaterRGBA			Alpha1	RGB1			Alpha2	RGB2		CloudAlpha		Illumination
//Midnight
235 206 255	143 131 123	255 255 255	5 2 30	3 6 33	255 135 6	255 0 0	1 1 0.6 200 100 0 1600 400 1.2	0 0 0	0 0 0	131 136 155 240	127 70 70 70	127 0 0 0	0 0 0
//5AM
68 68 68	90 102 120	255 255 255	130 164 172	184 172 126	0 0 0	0 0 0	2.5 0.8 0.7 200 100 0 1600 400 1.5	0 0 0	0 0 0	238 249 255 240	15 70 70 70	15 0 0 0	0 0 0
//6AM
42 42 42	188 188 188	255 255 255	130 166 172	200 144 85	0 0 0	0 0 0	0 0.7 0.5 200 100 0 1600 400 1.4	0 0 0	0 0 0	237 249 255 255	50 47 58 70	40 0 0 0	0 0 0
//7AM
55 55 55	182 138 109	255 255 255	133 176 192	154 133 101	255 159 74	255 154 94	8.4 1 0.5 100 50 75 1600 400 0.3	0 0 0	0 0 0	180 217 255 255	40 173 106 60	30 128 110 5	0 0 0
//Midday
56 56 56	242 245 255	255 255 255	40 98 255	103 176 255	0 0 0	0 0 0	3.1 1 0.5 100 0 0 1600 40 0.3	0 0 0	0 0 0	51 193 255 240	42 255 200 179	25 129 200 179	0 0 0
//7PM
55 55 55	255 255 255	255 255 255	66 82 255	218 188 143	255 150 13	55 128 0	4.4 1 0.6 100 50 75 1600 40 0.3	0 0 0	0 0 0	176 217 255 240	40 173 106 60	30 129 110 2	0 0 0
//8PM
28 28 28	182 138 109	255 255 255	0 58 255	255 184 157	255 150 13	55 128 0	5.4 1 0.3 100 50 75 1600 40 0.5	0 0 0	0 0 0	145 170 170 240	20 173 106 70	20 184 172 126	0 0 0
//10PM
255 200 202	255 212 226	255 255 255	6 8 35	0 7 17	255 135 6	5 0 0	1 0.4 0.4 200 100 0 1800 40 0.8	0 0 0	0 0 0	145 161 162 240	52 231 255 254	52 0 237 255	0 0 0
//
//////////// EXTRASUNNY_SMOG_LA
//Amb			Amb_Obj	Dir			Sky top			Sky bot		SunCore		SunCorona	SunSz	SprSz	SprBght	Shdw	LightShd	PoleShd	FarClp	FogSt	LightOnGround	LowCloudsRGB	BottomCloudRGB	WaterRGBA			Alpha1	RGB1			Alpha2	RGB2		CloudAlpha		Illumination
//Midnight
43 43 43	143 131 123	255 255 255	0 0 0	0 2 5	255 135 6	255 0 0	1 1 0.6 200 100 0 1600 400 1.2	0 0 0	0 0 0	131 136 155 240	127 70 70 70	127 0 0 0	0 0 0
//5AM
68 68 68	90 102 120	255 255 255	130 164 172	184 172 126	0 0 0	0 0 0	2.5 0.8 0.7 200 100 0 1600 400 1.5	0 0 0	0 0 0	238 249 255 240	15 70 70 70	15 0 0 0	0 0 0
//6AM
42 42 42	188 188 188	255 255 255	130 166 172	200 144 85	0 0 0	0 0 0	0 0.7 0.5 200 100 0 1600 400 1.4	0 0 0	0 0 0	237 249 255 255	50 47 58 70	40 0 0 0	0 0 0
//7AM
