
---====05:59:59====---

[05:59:59]  [Army SF] Капитан Vova_Kotov: D/carm
[06:00:56]  [Army SF] Капитан Pablo_Moruga: AF, ЧС в порту.
[06:01:06]  [Police LV] Капитан Loonklage_Revolution: AF, открыты заявления в FBI HRT, подробнее в разделе FBI на оф.портале.
[06:02:27]  [Police LV] Капитан Younes_Perigosa: LVa,заехал на пески,ярко-красный маяк.
[06:04:10]  [Police LV] Капитан Younes_Perigosa: SFPD, пересекаю вашу юрисдикцию, договор
[06:05:26]  [Police LV] Лейтенант Tekeo_Kaneko: Gov, дело Skold Unspoken рассмотрению не подлежит, ООП
[06:05:41]  [Police LV] Лейтенант Jason_Statkham: Gov, дело Apush Domeni рассмотрению не подлежит, ООП
[06:06:05]  [Police LV] Лейтенант Jason_Statkham: Gov, дело Christopher Domeni рассмотрению не подлежит, ООП
[06:06:15]  [Police LS] Мл.Сержант Kirill_Noviy: AF, 10-57, черный автомобиль с номерами EBOY, GPS: 1298.2, -1853.9, 13.3
[06:06:27]  [Police LS] Офицер Savage_Smith: LSPD, 10-4 по 10-57, присоединяюсь к погоне
[06:06:42]  [Army LV] Капитан Bella_Kelly: SFa, спасибо за птичек. Удачной службы!
[06:07:00]  [Police LS] Майор Sergio_Rodriguez: AF, открыт перевод в LSPD с звания Мл.Сержант. Подробнее на п.636
[06:13:06]  [Police LV] Полковник Martin_Milson: LVA, заберите грузовик в З-14
[06:19:56]  [FBI] Инспектор FBI Stefan_Salvatore: LVA, заберите вашу фуру у КПП ФБР
[06:20:06]  [Police LS] Майор Sergio_Rodriguez: Army, был ограблен магазин одежды LS. Укрепите ваши посты
[06:20:26]  [Police LS] Майор Jose_Reyes: Освободил Государственную волну
[06:21:30]  [FBI] Инспектор FBI Stefan_Salvatore: LVPD, Благодарю Maksim Gloris и Sasha Sunside!
[06:29:18]  [Police LV] Подполковник Benjamin_Remavelli: AF, 10-57, черно-серый автомобиль без номеров, GPS: 1571.6, 855.6, 6.5
[06:29:18]  [Police LV] Подполковник Benjamin_Remavelli: Gov, дело Lee Wu рассмотрению не подлежит, ООП
[06:29:18]  [Police LV] Капитан Loonklage_Revolution: AF, открыты заявления в FBI HRT, подробнее в разделе FBI на оф.портале.
[06:29:18]  [Police LV] Полковник Faust_Blackwood: AF, открыт перевод в LVPD с звания Мл.Сержант. Подробнее на п.559
[06:29:18]  [Police LV] Капитан Loonklage_Revolution: AF, открыты заявления в FBI HRT, подробнее в разделе FBI на оф.портале.
[06:40:46]  [Police LS] Майор Jose_Reyes: OG, Вещаю, просьба не перебивать
[06:40:46]  [Police LS] Майор Jose_Reyes: Освободил Государственную волну
[06:40:46]  [Police LV] Капитан William_Rockstar: Gov, дело Sammy Sweazy рассмотрению не подлежит, ООП
[06:40:46]  [Police LV] Подполковник Benjamin_Remavelli: Gov, дело Ojjkij Jomjikki рассмотрению не подлежит, ООП
[06:40:46]  [Police LS] Ст.Лейтенант Jackson_Gontie: MOH, два трупа С-18.
[06:40:47]  [Police LV] Капитан Loonklage_Revolution: AF, открыты заявления в FBI HRT, подробнее в разделе FBI на оф.портале.
[06:40:47]  [Police LS] Майор Jose_Reyes: OG, Вещаю, просьба не перебивать
[06:40:47]  [Police LS] Майор Jose_Reyes: Освободил Государственную волну
[06:42:33]  [Police SF] Майор Roy_Akkerman: AF, доступны переводы в SFPD с Мл.Сержанта, подробнее на пдж.290
[06:43:06]  [Army LV] Полковник Nicholas_Harison: SFa, начните поставки на наш склад. Благодарим.
[06:43:43]  [FBI] Агент DEA Rafael_Romanov: HRT, code 0, channel 533
[06:43:53]  [Police LV] Капитан Roks_Tortyga: Gov, дело 626 запрашивает защиту адвоката, едем в LVPD
[06:46:12]  [Army SF] Капитан Takizawa_Schwarm: SAPD, Alexandr Acapello чей офицер?
[06:46:12]  [Police SF] Подполковник Soichiro_Honda: SFa, наш.
[06:46:12]  [Army LV] Подполковник Nikita_Fiesta: SFA,возобновите поставки,мы на резерве
[06:47:35]  [Police LV] Капитан William_Rockstar: Gov, дело Ilnar Biktimerov рассмотрению не подлежит, ООП
[06:47:45]  [Police LV] Капитан William_Rockstar: Gov, дело Ilnar Biktimerov рассмотрению не подлежит, ООП
[06:49:17]  [Army LV] Лейтенант Aleksandra_Suvorova: SFA, пару птичек на наш склад. Спасибо.
[06:50:47]  [Police LS] Майор Jose_Reyes: OG, Вещаю, просьба не перебивать
[06:50:47]  [Police LS] Майор Jose_Reyes: Освободил Государственную волну
[06:50:47]  [Police LV] Мл.Лейтенант Danil_Pushkar: LSPD, руководство есть на связи? пейджер 780

---====06:58:31====---

[06:58:31]  [Police LS] Лейтенант Ernesto_Castilia: AF, открыты заявления в FBI HRT, подробнее в разделе FBI на оф.портале.
[07:00:13]  [Police LV] Майор Vlad_Werber: OG, занимаю волну государственных новостей. Просьба не перебивать.
[07:00:33]  [Police LV] Майор Vlad_Werber: OG, освободил волну государственных новостей.
[07:01:03]  [Police LS] Капитан Joern_Steinhauser: КднкФТ\
[07:01:13]  [Army SF] Капитан John_Romanov: LSPD, 10-4
[07:01:23]  [Police LS] Капитан Joern_Steinhauser: OG, Рация упала.
[07:01:33]  [Police LS] Лейтенант Ernesto_Castilia: HRT, code 0, channel 359
[07:04:07]  [Police LV] Лейтенант Bon_Byason: Gov, дело Omar Khayyamm рассмотрению не подлежит, ООП
[07:05:01]  [Army SF] Майор Christopher_Schweder: OG, занял гос.волну.
[07:05:15]  [Army SF] Майор Christopher_Schweder: OG, освободил гос.волну
[07:09:26]  [Police LV] Капитан Loonklage_Revolution: AF, открыты заявления в FBI HRT, подробнее в разделе FBI на оф.портале.
[07:10:25]  [Police LS] Ст.Прапорщик Christian_Shirtziger: Gov, дело Alexey Space рассмотрению не подлежит, ООП
[07:10:39]  [Police LV] Майор Vlad_Werber: OG, занимаю волну государственных новостей. Просьба не перебивать.
[07:10:59]  [Police LV] Майор Vlad_Werber: OG, освободил волну государственных новостей.
[07:11:47]  [Police LS] Ст.Лейтенант Jackson_Gontie: AF, порт ЧС
